Rank,Song Name,Minutes Played
1,Still Not a Player (feat. Joe),278
2,Last Call,258
3,No Role Modelz,249
4,Father Stretch,245
5,1901,222
6,Brazil,212
7,Rio - 2009 Remaster,211
8,British Bombs,210
9,Ghost Town,207
10,Hallelujah,189
11,No Sex For Ben,184.54
12,Pure Souls,184.5
13,Your Apartment,183
14,Disparate Youth,182
15,Now Or Never - Bonus Track,176
16,97 Avalon,175
17,Why Do You Feel So Down,173.4
18,I Ran (So Far Away),173.2
19,(Don't Fear) The Reaper,168
20,Devil In A New Dress,164
21,Feels Like We Only Go Backwards,161
22,Family Business,160
23,IOU,159
24,Elephant,151
25,Dreamer,150
26,Electric Feel,149
27,Love Game,146
28,Jesus Lord,145
29,Free Bird,144.9
30,DO IT,144.8










31,i,144.1
32,King Kunta,143.9
33,No Problem,143.6
34,Burnin' for You,141.7
35,Lisztomania,141.3
36,Video Killed The Radio Star,140
37,Baby Blue,138
38,Peace of Mind,137.9
39,Time to Pretend,137.7
40,Baby Blue - Remastered 2010,137.5
41,Mulholland's Dinner and Wine,137.4
42,The Promise,136
43,Song I Wrote When I Was Drunk,135
44,Make Her Say,134
45,Ride Wit Me,132
46,Money,131.5
47,All Your Fault,131.4
48,Heart Of Glass,130.7
49,Runaway - Album Version (Edited),130.3
50,family ties (with Kendrick Lamar),130
51,Virtual Insanity - Remastered 2006,129.5
52,Otis,129.3
53,These Days,128
54,Two Words,127.6
55,Don't Like.1,127.2
56,Alright,126.9
57,Sleepwalking,126.8
58,Is It True,126.5
59,Kilby Girl,124.96
60,Expectation,124.9
61,Come a Little Closer,122.24
62,Love Lost,122.2
63,Under Pressure - Remastered 2011,122.1
64,Pure Souls,122
65,Kids,121.7
66,Telescope,121.6
67,Got My Mind Set on You,120
68,Why,119
69,Mercury,119
70,A Letter To My Younger Self (feat. Logic),118
71,Two Weeks,117.9
72,Gorgeous - Album Version (Edited),117.4
73,The Set Up,114.9
74,Sundress,114.5
75,Young Folks,114.4
76,4:44,114
77,Little Foot Big Foot (feat. Young Nudy),113
78,Hey Mama,112
79,Paint Me Silver,111.6
80,Dog Days Are Over,111.5
81,All The Stars (with SZA),110
82,Rocket Fuel (feat. De La Soul),109.6
83,Heart Of The City (Ain't No Love),109
84,Bad Habit,108
85,Benzi Box,107
86,Houdini,105
87,Good Old Days (feat. Kesha),104
88,APOLOGIZE,103.6
89,So in Love,103.5
90,Cold as Ice,103.30
91,Out of My League,102.8
92,Broken Record,102.5
93,Mr. Rager,102.1
94,All We Got (feat. Kanye West & Chicago Children's Choir),100
95,Swing Lynn,99.3
96,BEG FORGIVENESS,99
97,Lost,98.8
98,Stan,98.4
99,Since '96,98
100,Lost In Yesterday,98
