Rank,Artist,Minutes Played
1,Kanye West,5988
2,Quinn XCII,1764
3,Wallows,1580
4,Tame Impala,1283
5,Kendrick Lamar,1182
6,Declan McKenna,1141
7,JAY-Z,947
8,Jon Bellion,738
9,The Wrecks,570
10,Tyler The Creator,559
11,Frank Ocean,554
12,Kid Cudi,533
13,Eminem,531
14,Childish Gambino,467
15,¥$,460
16,AJR,448
17,Stavros Hughes,424
18,MGMT,409
19,Dominic Fike,407
20,Foreigner,404


