Month,Artist,Minutes Played
January,Kanye West,5716
January,Quinn XCII,1693
January,Wallows,1504
January,Tame Impala,1245
January,Kendrick Lamar,1134
January,Declan McKenna,1108
January,JAY-Z,947
January,Jon Bellion,738
January,The Wrecks,570
January,Tyler The Creator,559
February,Kanye West,6372
February,Quinn XCII,1693
February,Wallows,1504
February,Tame Impala,1245
February,Kendrick Lamar,1134
February,Declan McKenna,1108
February,JAY-Z,947
February,Jon Bellion,738
February,The Wrecks,570
February,Tyler The Creator,559
March,Kanye West,988
March,Quinn XCII,681
March,Jon Bellion,177
March,Wallows,174
March,Tame Impala,117
March,Kendrick Lamar,107
March,JAY-Z,85
March,Kid Cudi,82
March,Eminem,78
March,The Wrecks,77
April,Kanye West,506
April,Wallows,174
April,Declan McKenna,107
April,Jon Bellion,99
April,Quinn XCII,95
April,JAY-Z,94
April,The Wrecks,92
April,AJR,87
April,Kenny Loggins,81
April,Kendrick Lamar,77
May,Kanye West,450
May,Â¥$,97
May,Wallows,85
May,Jon Bellion,62
May,Tame Impala,58
May,Quinn XCII,45
May,JAY-Z,44
May,Stavros Hughes,42
May,AJR,40
May,Kendrick Lamar,34
June,Kanye West,988
June,Quinn XCII,222
June,Jon Bellion,177
June,Wallows,174
June,Tame Impala,117
June,Kendrick Lamar,107
June,JAY-Z,85
June,Kid Cudi,82
June,Eminem,78
June,The Wrecks,77
July,Kanye West,506
July,Wallows,174
July,Declan McKenna,107
July,Jon Bellion,99
July,Quinn XCII,95
July,JAY-Z,94
July,The Wrecks,92
July,AJR,87
July,Kenny Loggins,81
July,Kendrick Lamar,77
August,Kanye West,450
August,Â¥$,97
August,Wallows,85
August,Jon Bellion,62
August,Tame Impala,58
August,Quinn XCII,45
August,JAY-Z,44
August,Stavros Hughes,42
August,AJR,40
August,Kendrick Lamar,34
September,Kanye West,988
September,Quinn XCII,222
September,Jon Bellion,177
September,Wallows,174
September,Tame Impala,117
September,Kendrick Lamar,107
September,JAY-Z,85
September,Kid Cudi,82
September,Eminem,78
September,The Wrecks,77
October,Quinn XCII,681
October,Kanye West,637
October,Tyler The Creator,284
October,Tame Impala,173
October,Wallows,125
October,Jon Bellion,113
October,JAY-Z,98
October,Kendrick Lamar,76
October,Kid Cudi,73
October,Eminem,64
November,Kanye West,354
November,Quinn XCII,201
November,Tame Impala,143
November,Wallows,127
November,Tyler The Creator,96
November,JAY-Z,92
November,Leslie Odom Jr.,89
November,Knox,75
November,Declan McKenna,64
November,The Wrecks,58
December,Kanye West,87
December,Kendrick Lamar,59
December,Declan McKenna,42
December,Wallows,37
December,Leslie Odom Jr.,34
December,Jon Bellion,27
December,Logic,26
December,Phoenix,25
December,JAY-Z,24
December,Cage The Elephant,21
